name,d,N,T,samples,attempts,attempts_std,attempts_median,keygen_ms,kagg_ms,sign_ms,sign_std_ms,sign_median_ms,sign_dualms_ms,sign_dualms_std_ms,sign_dualms_median_ms,sign_rs_ms,sign_rs_std_ms,sign_rs_median_ms,verify_ms,verify_std_ms,verify_median_ms,verify_dualms_ms,verify_dualms_std_ms,verify_dualms_median_ms,verify_rs_ms,verify_rs_std_ms,verify_rs_median_ms,sk_bytes,pk_bytes,ring_bytes,sig_bytes
"N=1,T=2",128,1,2,100,2.54,1.97,2.0,8.51,0.567,40.44,18.32,35.58,21.47,13.82,19.05,7.34,4.63,5.87,14.56,2.45,13.84,9.28,1.52,8.89,4.38,0.944,4.06,32,9636,19261,37704
"N=1,T=4",128,1,4,100,3.1,2.85,2.0,8.11,1.13,47.82,30.66,39.65,27.73,23.23,21.37,8.79,7.48,6.76,14.15,1.42,13.76,9.63,0.933,9.35,4.05,0.471,3.95,32,9636,38523,38205
"N=1,T=8",128,1,8,100,2.89,2.49,2.0,8.11,2.24,51.59,33.93,39.69,31.7,26.96,22.04,8.42,6.89,5.94,15.47,2.06,14.99,10.77,1.5,10.44,4.04,0.499,3.94,32,9636,77056,38574
"N=1,T=16",128,1,16,100,2.91,2.64,2.0,8.33,4.45,58.39,39.4,46.25,38.11,32.08,27.52,8.58,7.2,6.53,17.99,1.32,17.6,12.97,0.721,12.74,4.04,0.495,3.94,32,9636,154112,39086
"N=32,T=1",128,32,1,100,2.99,2.14,2.0,8.54,3.97,80.77,41.5,64.37,43.89,31.08,30.83,15.84,9.82,12.21,27.01,1.52,26.8,11.97,0.854,11.79,13.52,0.841,13.4,32,9636,308224,42004
"N=32,T=4",128,32,4,100,2.97,2.12,3.0,8.45,7.17,97.81,49.62,89.92,57.34,38.1,51.38,17.63,10.89,16.82,33.95,1.97,33.73,16.83,1.15,16.57,13.71,1.21,13.5,32,9636,1237320,42906
"N=32,T=8",128,32,8,100,2.98,2.58,2.0,8.38,13.1,118.2,82.06,89.11,73.26,67.39,49.06,18.29,13.99,13.31,42.36,5.32,40.79,23.17,2.6,22.55,14.32,2.78,13.39,32,9636,2464154,43254
"N=32,T=16",128,32,16,100,3.34,3.01,2.0,8.21,25.76,151.4,102.4,118.7,97.37,84.28,73.6,20.81,17.18,14.53,54.56,3.94,53.22,34.29,2.69,33.37,14.08,1.8,13.51,32,9636,4928307,43745
"N=32,T=32",128,32,32,100,4.28,3.51,3.0,8.33,49.57,268.2,180.5,203.5,194.0,157.2,137.9,27.36,21.29,21.16,81.88,5.46,79.94,56.81,4.69,55.16,14.2,1.92,13.68,32,9636,9867100,44124
"N=100,T=1",128,100,1,100,2.68,2.1,2.0,8.35,5.73,166.7,94.73,132.9,89.49,70.2,65.84,33.92,22.94,25.55,54.86,4.21,53.5,16.56,0.846,16.47,35.54,3.7,34.22,32,9636,963195,52255
"N=100,T=5",128,100,5,100,2.75,1.87,2.0,8.26,24.1,226.0,115.0,183.9,136.4,91.6,102.8,36.83,22.17,28.88,76.56,4.35,75.44,34.95,2.19,34.32,35.3,3.07,34.18,32,9636,4812964,53217
"N=100,T=10",128,100,10,100,2.94,1.97,2.5,8.24,45.55,272.7,137.9,242.7,166.8,113.9,146.6,39.77,23.34,35.09,102.7,3.67,102.2,56.5,2.22,56.03,35.14,1.88,34.57,32,9636,9636413,53586
"N=100,T=25",128,100,25,100,3.03,2.51,2.0,8.28,110.4,383.9,226.8,295.8,240.6,194.9,159.8,40.98,29.87,28.74,181.8,7.99,180.4,121.7,4.74,121.3,35.44,3.62,34.23,32,9636,24075305,54282
"N=100,T=50",128,100,50,100,5.28,5.04,4.0,8.64,224.2,923.6,713.2,718.7,684.1,638.5,505.4,73.65,68.77,50.81,311.0,11.07,310.7,230.0,9.57,229.8,35.04,1.97,34.46,32,9636,48161096,54815
